,,Real GDP,,Consumption,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,Nonresidential  Investment,            Structures,            Equipment,            Intellectual property products,Residential Investment,Change in Inventories,Net Exports,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government Spending,    Federal,        National defense,        Nondefense,    State and local
2023,Q1,2.9,,2.99,1.55,1.29,0.26,1.44,-1.33,0.85,1.13,0.84,-0.01,0.3,-0.28,-2.18,0.58,0.43,0.46,-0.03,0.14,0.14,0.01,0.69,0.25,0.16,0.09,0.44
2023,Q2,2.5,,1.02,0.09,0.01,0.09,0.92,1.27,1.63,1.47,0.61,0.61,0.25,0.16,-0.36,-0.3,-0.6,-0.81,0.21,0.3,0.49,-0.19,0.56,-0.01,0.08,-0.09,0.56
2023,Q3,4.7,,2.08,0.95,0.48,0.47,1.13,1.66,0.69,0.25,0.22,-0.13,0.16,0.44,0.97,0.09,0.49,0.43,0.06,-0.4,-0.44,0.04,0.87,0.42,0.26,0.16,0.44
2023,Q4,3.4,,2.04,0.47,0.02,0.46,1.57,0.65,0.82,0.76,0.36,0.17,0.23,0.06,-0.17,-0.06,0.66,0.45,0.21,-0.72,-0.3,-0.42,0.79,0.21,0.08,0.14,0.57
2024,Q1,0.8,,1.17,-0.29,-0.07,-0.22,1.46,-0.29,0.54,0.22,-0.17,0.03,0.35,0.32,-0.83,-0.42,0.49,-0.01,0.5,-0.91,-0.78,-0.13,0.39,0.05,-0.1,0.15,0.34
2024,Q2,3.6,,2.61,1.14,0.56,0.59,1.47,1.44,0.27,0.35,-0.13,0.44,0.04,-0.08,1.17,-1.04,0.08,0.03,0.05,-1.11,-0.95,-0.16,0.57,0.27,0.25,0.03,0.3
2024,Q3,3.3,,2.66,1.27,0.61,0.66,1.38,0.18,0.28,0.48,-0.07,0.41,0.14,-0.2,-0.11,-0.41,0.95,0.58,0.37,-1.36,-0.95,-0.41,0.92,0.54,0.47,0.07,0.38
2024,Q4,1.9,,2.61,1.43,0.92,0.52,1.17,-1.26,-0.34,-0.51,-0.26,-0.22,-0.03,0.17,-0.91,-0.06,-0.1,-0.28,0.18,0.03,0.35,-0.32,0.57,0.28,0.17,0.11,0.29
2025,Q1,-0.6,,0.42,0.04,-0.26,0.3,0.37,3.79,1.21,1.24,-0.1,1,0.34,-0.04,2.58,-4.68,0.02,0.42,-0.4,-4.7,-4.88,0.18,-0.17,-0.37,-0.27,-0.11,0.2
2025,Q2,3.8,,1.68,0.47,0.17,0.3,1.21,-2.66,0.77,0.98,-0.23,0.44,0.78,-0.21,-3.44,4.83,-0.2,-0.33,0.13,5.03,4.99,0.04,-0.01,-0.35,0.03,-0.38,0.33
2025,Q3,3.9,,2.28,,,,,,,0.58,,,,-0.19,0.37,0.58,,,,,,,0.26,,,,
