,Core Goods,Housing,Core Services
200801,-0.45,2.97,3.25
200802,-0.61,2.83,3.15
200803,-0.39,2.77,3.23
200804,-0.34,2.81,3.03
200805,-0.42,2.8,3.18
200806,-0.3,2.85,3.22
200807,-0.1,2.83,3.17
200808,0.22,2.75,2.98
200809,0.15,2.71,2.71
200810,-0.1,2.6,2.12
200811,-0.23,2.53,1.76
200812,-0.48,2.34,1.48
200901,-0.54,2.35,1.09
200902,-0.04,2.3,0.85
200903,0.33,2.31,0.46
200904,0.97,2.24,0.49
200905,1.08,2.27,0.24
200906,1.13,2.04,0.11
200907,0.86,1.83,0.13
200908,0.67,1.71,0.29
200909,1.06,1.37,0.36
200910,1.31,1.15,1.23
200911,1.36,0.78,1.57
200912,1.53,0.68,1.77
201001,1.41,0.41,2.23
201002,0.97,0.26,2.49
201003,0.55,0.01,2.9
201004,-0.28,-0.14,3.01
201005,-0.41,-0.24,3.17
201006,-0.61,-0.2,3.1
201007,-0.67,-0.14,2.95
201008,-0.51,-0.2,2.8
201009,-0.84,-0.03,2.68
201010,-1.09,0.06,2.37
201011,-0.98,0.3,2.31
201012,-1.05,0.44,2.19
201101,-0.78,0.63,2.13
201102,-0.57,0.79,2.13
201103,-0.6,0.95,2.1
201104,-0.04,1.05,2.13
201105,0.34,1.12,2.17
201106,0.6,1.21,2.14
201107,0.88,1.38,2.22
201108,0.93,1.61,2.31
201109,0.82,1.69,2.36
201110,1.03,1.85,2.02
201111,1.14,1.88,2.11
201112,1.25,1.96,2.3
201201,1.22,2.01,2.44
201202,1.03,2.01,2.47
201203,1.19,2.11,2.39
201204,0.88,2.24,2.35
201205,0.62,2.25,2.21
201206,0.37,2.21,2.33
201207,0.3,2.16,2.29
201208,-0.01,2.14,2.2
201209,0.14,2.22,2.2
201210,0.13,2.23,2.55
201211,-0.05,2.23,2.45
201212,-0.23,2.2,2.37
201301,-0.3,2.19,2.23
201302,-0.39,2.25,2.2
201303,-0.72,2.22,2.22
201304,-0.76,2.19,2.06
201305,-0.84,2.26,2.1
201306,-0.72,2.35,2.14
201307,-0.73,2.32,2.2
201308,-0.63,2.39,2.22
201309,-0.73,2.35,2.26
201310,-0.86,2.34,2.2
201311,-0.87,2.41,2.28
201312,-0.88,2.53,2.31
201401,-1.05,2.58,2.21
201402,-1.05,2.58,2.09
201403,-0.95,2.67,2.12
201404,-0.83,2.71,2.27
201405,-0.75,2.73,2.32
201406,-0.68,2.75,2.19
201407,-0.64,2.85,2.21
201408,-0.77,2.8,2.16
201409,-0.64,2.85,2.12
201410,-0.58,2.87,1.94
201411,-0.84,2.89,1.91
201412,-0.83,2.8,1.88
201501,-1.03,2.85,1.69
201502,-0.78,2.93,1.68
201503,-0.59,2.94,1.6
201504,-0.51,2.97,1.57
201505,-0.5,2.98,1.48
201506,-0.73,3.1,1.57
201507,-0.89,3.14,1.49
201508,-0.83,3.17,1.53
201509,-0.78,3.22,1.51
201510,-0.97,3.23,1.5
201511,-0.76,3.18,1.46
201512,-0.7,3.23,1.41
201601,-0.54,3.25,1.7
201602,-0.55,3.22,1.82
201603,-0.72,3.19,1.89
201604,-0.61,3.21,1.94
201605,-0.78,3.31,2.07
201606,-0.84,3.28,2.08
201607,-0.85,3.28,2.16
201608,-0.59,3.32,2.2
201609,-0.58,3.39,2.16
201610,-0.51,3.47,2.27
201611,-0.87,3.58,2.28
201612,-0.9,3.64,2.37
201701,-0.53,3.61,2.38
201702,-0.58,3.62,2.41
201703,-0.59,3.6,2.09
201704,-0.93,3.52,2.19
201705,-0.96,3.43,2.07
201706,-0.79,3.41,2.05
201707,-0.66,3.39,1.87
201708,-0.94,3.45,1.85
201709,-1.27,3.37,2
201710,-0.99,3.36,2.09
201711,-0.87,3.3,2.06
201712,-0.84,3.35,2.09
201801,-0.76,3.38,2.14
201802,-0.82,3.29,2.21
201803,-0.67,3.37,2.58
201804,-0.37,3.47,2.38
201805,-0.14,3.49,2.44
201806,-0.36,3.43,2.48
201807,-0.45,3.47,2.61
201808,-0.67,3.42,2.55
201809,-0.49,3.37,2.59
201810,-0.55,3.34,2.47
201811,-0.22,3.39,2.55
201812,-0.26,3.28,2.64
201901,-0.24,3.25,2.32
201902,-0.44,3.37,2.19
201903,-0.62,3.4,2.04
201904,-0.88,3.43,2.18
201905,-0.9,3.42,2.06
201906,-0.5,3.51,2.02
201907,-0.58,3.47,2.04
201908,-0.16,3.43,2.06
201909,-0.27,3.5,1.89
201910,-0.34,3.41,1.93
201911,-0.49,3.35,1.8
201912,-0.46,3.36,1.87
202001,-0.8,3.43,2.04
202002,-0.44,3.37,2.08
202003,-0.64,3.3,1.88
202004,-1.26,3.15,1.25
202005,-1.57,3.14,1.41
202006,-1.69,2.9,1.5
202007,-0.94,2.85,1.61
202008,-0.41,2.75,1.76
202009,-0.39,2.53,1.97
202010,-0.48,2.53,1.88
202011,-0.16,2.31,1.87
202012,0.1,2.18,1.97
202101,0.36,2,2.2
202102,0.04,2,2.42
202103,0.54,1.96,3.09
202104,2.44,1.99,3.91
202105,3.67,2.05,4.05
202106,4.32,2.26,4.22
202107,4.03,2.34,4.47
202108,3.92,2.49,4.51
202109,4.18,2.82,4.37
202110,5.21,3.07,4.57
202111,5.59,3.45,5.1
202112,6.24,3.71,5.26
202201,6.91,4.05,5.13
202202,7.66,4.31,5.13
202203,7.47,4.56,5.08
202204,6.35,4.85,5.03
202205,5.72,5.18,4.94
202206,5.72,5.61,5.05
