Table 33: Expected Change in Prices During the Next 5 Years
Month,Year,Down,Same,Up by 1-2%,Up by 3-4%,Up by 5%,Up by 6-9%,Up by 10-14%,Up by 15%+,Up; DK how much,DK; NA,Mean,Variance,Standard deviation,25th Percentile,Median,75th Percentile,Interquartile Range (75th-25th),
1,2019,3,2,39,31,10,2,3,0,8,2,2.8,6,2.5,1.4,2.6,3.5,2,
2,2019,4,2,44,25,8,2,4,1,7,3,2.7,7,2.7,1.3,2.3,3.4,2.1,
3,2019,3,2,41,30,11,3,1,1,6,2,2.7,5,2.2,1.4,2.5,3.4,2.1,
4,2019,2,3,45,28,8,2,3,1,6,2,2.7,5,2.3,1.3,2.3,3.4,2,
5,2019,3,1,38,31,10,3,4,1,7,2,3,7,2.6,1.4,2.6,3.6,2.2,
6,2019,4,3,43,29,7,2,4,0,6,2,2.6,7,2.7,1.2,2.3,3.4,2.2,
7,2019,5,2,38,29,9,5,3,1,6,2,2.9,8,2.8,1.3,2.5,3.6,2.3,
8,2019,5,3,36,30,10,3,2,1,8,2,2.7,7,2.7,1.3,2.6,3.5,2.2,
9,2019,6,3,41,26,10,3,3,1,5,2,2.7,8,2.8,1.3,2.4,3.5,2.2,
10,2019,5,4,43,27,9,2,3,1,5,1,2.6,7,2.6,1.1,2.3,3.3,2.2,
11,2019,3,1,42,29,9,2,4,1,6,3,2.8,8,2.7,1.3,2.5,3.6,2.2,
12,2019,5,3,44,25,9,3,4,0,5,2,2.6,6,2.5,1.2,2.2,3.3,2.2,
1,2020,2,3,41,28,10,4,3,0,7,2,2.8,7,2.6,1.4,2.5,3.4,2.1,
2,2020,3,3,43,26,9,2,3,1,9,1,2.7,7,2.6,1.3,2.3,3.4,2.1,
3,2020,3,3,43,28,9,2,3,1,7,1,2.6,6,2.4,1.2,2.3,3.3,2.1,
4,2020,5,5,37,26,12,3,3,0,8,1,2.7,7,2.6,1.2,2.5,3.8,2.5,
5,2020,6,4,31,30,10,3,4,1,10,1,2.9,9,3.1,1.4,2.7,3.9,2.5,
6,2020,5,5,35,28,11,3,2,0,9,2,2.6,6,2.5,1.3,2.5,3.5,2.1,
7,2020,5,3,34,30,10,3,3,0,11,1,2.8,7,2.7,1.4,2.6,3.7,2.3,
8,2020,5,4,32,30,13,4,4,0,7,1,2.9,7,2.7,1.4,2.7,4.1,2.7,
9,2020,3,4,35,29,13,3,4,0,8,1,3,7,2.6,1.4,2.7,4,2.6,
10,2020,5,4,39,30,8,2,2,1,7,2,2.6,8,2.8,1.2,2.4,3.3,2.1,
11,2020,4,3,39,27,11,2,4,0,8,2,2.9,6,2.5,1.4,2.5,3.5,2.1,
12,2020,4,2,37,28,9,3,4,1,11,1,2.9,7,2.7,1.4,2.5,3.6,2.2,
1,2021,6,2,33,27,11,5,3,1,11,1,3,9,2.9,1.5,2.7,4,2.5,
2,2021,4,2,34,27,12,4,5,1,10,1,3.2,8,2.9,1.4,2.7,4.5,3.1,
3,2021,2,3,32,26,11,4,7,1,12,2,3.4,9,3.1,1.5,2.8,4.6,3.1,
4,2021,2,2,36,25,15,4,2,1,12,1,3,6,2.5,1.4,2.7,4.5,3.1,
5,2021,5,2,27,27,13,5,6,1,12,2,3.5,10,3.2,1.7,3,4.8,3.1,
6,2021,8,2,29,26,11,4,7,2,8,3,3.4,16,4,1.5,2.8,4.7,3.2,
7,2021,6,5,28,24,11,7,5,3,8,3,3.5,15,3.9,1.4,2.8,4.8,3.4,
8,2021,4,3,29,26,15,3,6,5,7,2,3.9,18,4.2,1.6,2.9,4.9,3.3,
9,2021,6,3,28,27,13,5,8,3,5,2,3.8,18,4.2,1.5,3,4.9,3.4,
10,2021,8,5,26,24,14,5,7,2,6,3,3.4,14,3.7,1.4,2.9,4.9,3.5,
11,2021,7,4,24,25,12,6,8,3,8,3,3.8,18,4.2,1.6,3,5,3.5,
12,2021,7,5,26,25,14,4,7,3,6,3,3.6,18,4.3,1.4,2.9,4.9,3.5,
1,2022,9,4,19,31,14,6,7,2,6,2,3.6,17,4.1,1.7,3.1,5,3.3,
2,2022,11,4,21,27,13,6,7,2,7,2,3.5,17,4.1,1.4,3,4.9,3.5,
3,2022,10,7,19,25,14,5,6,3,8,3,3.6,22,4.7,1.4,3,5,3.6,
4,2022,14,7,18,23,13,6,7,5,4,3,3.8,37,6.1,0.8,3,5.1,4.2,
5,2022,12,6,19,22,14,7,8,3,6,3,3.5,26,5.1,1.2,3,5.2,4,
6,2022,17,5,17,21,16,6,5,6,4,3,4,47,6.9,0.8,3.1,5.2,4.4,
7,2022,18,8,15,22,14,7,5,4,3,4,3.4,46,6.7,0.3,2.9,5,4.7,
8,2022,13,6,20,25,14,3,7,4,5,3,3.8,41,6.4,1,2.9,4.8,3.9,
9,2022,14,8,22,20,11,4,8,5,4,4,3.5,37,6.1,0.6,2.7,5,4.4,
10,2022,15,7,17,27,10,7,5,5,5,2,3.8,53,7.3,0.8,2.9,4.9,4.1,
11,2022,14,8,17,26,11,6,7,5,4,2,4,54,7.4,0.8,3,5.1,4.3,
12,2022,12,6,21,27,12,5,5,6,4,2,4.3,57,7.6,1.1,3,4.9,3.9,
1,2023,11,6,22,27,15,5,4,5,3,2,3.7,43,6.6,1.3,2.9,4.9,3.6,
2,2023,11,6,22,28,10,6,5,5,4,3,4,49,7,1.2,2.9,4.8,3.6,
3,2023,12,6,22,24,15,6,4,5,3,3,3.9,54,7.4,1.1,2.9,5,3.9,
4,2023,9,5,24,27,12,5,6,5,4,3,4.3,58,7.6,1.4,3,5,3.5,
5,2023,10,6,19,29,12,6,5,6,4,3,4.3,50,7,1.4,3.1,5,3.7,
6,2023,11,6,18,29,12,5,7,5,4,3,4.3,49,7,1.2,3,5,3.8,
7,2023,10,3,22,28,13,5,7,5,3,4,4.3,48,6.9,1.6,3,5,3.4,
8,2023,10,4,23,28,12,6,5,6,4,2,4.3,56,7.5,1.4,3,5,3.6,
9,2023,10,6,23,28,12,3,5,4,4,5,3.5,30,5.5,1.2,2.8,4.6,3.5,
10,2023,11,5,20,28,14,4,6,6,4,2,4.5,55,7.4,1.5,3,5,3.5,
11,2023,10,4,18,30,12,7,8,5,4,2,4.8,63,8,1.8,3.2,5.3,3.5,
12,2023,9,6,24,29,12,4,5,3,4,4,3.4,27,5.2,1.4,2.9,4.6,3.2,
1,2024,10,4,24,31,12,6,5,4,2,2,3.6,29,5.4,1.5,2.9,4.8,3.2,
2,2024,8,6,24,30,13,3,5,6,3,2,4.4,56,7.5,1.5,2.9,4.8,3.3,
3,2024,9,5,25,30,12,5,6,2,3,3,3.5,35,5.9,1.3,2.8,4.6,3.4,
4,2024,8,4,22,32,10,5,6,6,5,2,4.6,56,7.5,1.5,3,4.9,3.4,
5,2024,9,6,20,29,10,4,6,8,6,2,5,75,8.7,1.4,3,5.1,3.7,
6,2024,6,7,21,26,12,3,6,10,7,2,5.6,90,9.5,1.5,3,5.2,3.7,
7,2024,7,8,20,25,7,6,7,12,7,1,6.5,128,11.3,1.4,3,6.7,5.3,
8,2024,8,8,20,25,8,4,7,10,9,1,6.1,119,10.9,1.6,3,5.5,3.9,
9,2024,8,7,20,25,9,4,6,12,8,1,6.5,135,11.6,1.4,3.1,5.5,4,
10,2024,7,7,24,22,9,5,7,11,7,1,6.6,138,11.7,1.3,3,5.5,4.2,
11,2024,11,9,14,24,8,4,7,13,9,1,6.5,139,11.8,1.1,3.2,7.7,6.6,
12,2024,13,8,18,21,9,2,8,12,8,1,5.6,124,11.1,1,3,6,5.1,
1,2025,12,9,14,22,11,4,6,13,8,1,6.3,129,11.4,1,3.2,6.3,5.3,
2,2025,13,6,11,21,11,4,10,13,9,2,6.6,131,11.4,1.5,3.5,9.7,8.2,
3,2025,12,7,10,18,12,4,8,18,10,1,8.2,186,13.6,1.6,4.1,10.1,8.5,
4,2025,12,8,11,16,10,4,10,20,8,1,8.9,191,13.8,1.3,4.4,10.8,9.4,
5,2025,11,6,11,19,10,4,8,20,10,1,8.8,185,13.6,1.9,4.2,10.2,8.3,
6,2025,10,5,13,20,9,4,10,19,9,1,8.5,165,12.8,2,4,10.3,8.3,
7,2025,8,5,15,24,9,3,8,18,9,1,8.3,166,12.9,1.9,3.4,10,8,
8,2025,9,6,15,22,10,4,10,16,6,2,7.4,128,11.3,1.7,3.5,9.9,8.2,
