Table 32: Expected Change in Prices During the Next Year
Month,Year,Down,Same,Up by 1-2%,Up by 3-4%,Up by 5%,Up by 6-9%,Up by 10-14%,Up by 15%+,Up; DK how much,DK; NA,Mean,Variance,Standard Deviation,25th Percentile,Median,75th Percentile,Interquartile Range (75th-25th),
1,2019,3,14,26,26,14,3,4,1,8,1,2.9,9,3,1.1,2.7,4.5,3.5,
2,2019,2,11,33,25,10,4,6,1,8,0,3.1,10,3.1,1.2,2.6,4.2,3,
3,2019,3,12,32,25,13,3,5,1,6,0,2.9,10,3.1,1.1,2.5,4.2,3.1,
4,2019,1,12,34,23,11,3,6,1,8,1,3.1,8,2.9,1.2,2.5,4.2,3.1,
5,2019,1,11,26,27,14,4,7,1,8,1,3.4,9,3.1,1.4,2.9,4.8,3.4,
6,2019,2,11,29,22,14,4,7,3,7,1,3.5,13,3.5,1.2,2.7,4.8,3.7,
7,2019,3,11,30,25,11,6,6,2,6,0,3.2,12,3.4,1.1,2.6,4.6,3.5,
8,2019,2,13,29,21,15,5,7,2,6,0,3.4,12,3.5,1.2,2.7,4.9,3.7,
9,2019,3,14,25,22,15,4,8,1,7,1,3.3,12,3.5,1.1,2.8,4.9,3.8,
10,2019,2,17,28,22,13,3,5,2,7,1,3,11,3.3,0.9,2.5,4.6,3.7,
11,2019,2,15,29,22,13,4,6,1,7,1,3.1,11,3.4,1,2.5,4.6,3.6,
12,2019,3,14,32,22,10,3,6,1,8,1,2.8,10,3.2,0.9,2.3,4,3.1,
1,2020,3,15,30,24,12,3,6,1,6,0,2.9,10,3.2,1,2.5,4.2,3.2,
2,2020,3,15,30,23,13,3,4,1,8,0,2.8,10,3.1,0.9,2.4,4.1,3.2,
3,2020,8,19,24,20,10,4,5,2,7,1,2.5,14,3.8,0.4,2.2,4,3.6,
4,2020,17,23,10,12,13,3,8,4,9,1,2.4,30,5.5,-0.1,2.1,5.1,5.2,
5,2020,12,17,10,14,12,5,13,2,14,1,3.3,31,5.6,0.2,3.2,6.6,6.4,
6,2020,9,17,13,16,16,5,10,2,10,2,3.3,20,4.4,0.4,3,5.2,4.8,
7,2020,6,18,12,22,12,4,10,3,12,1,3.6,19,4.4,0.6,3,5.1,4.6,
8,2020,6,18,15,19,17,5,10,2,7,1,3.4,19,4.3,0.6,3.1,5.2,4.6,
9,2020,6,20,19,16,14,4,10,2,8,1,3.3,18,4.3,0.4,2.6,5.1,4.6,
10,2020,4,23,19,18,14,4,6,2,9,1,3,15,3.8,0.4,2.6,4.8,4.4,
11,2020,6,18,18,19,15,5,8,2,8,1,3.2,17,4.1,0.6,2.8,5.1,4.5,
12,2020,5,19,22,18,10,5,6,2,11,2,3,17,4.1,0.5,2.5,4.8,4.2,
1,2021,4,14,18,22,13,6,7,4,12,0,3.8,19,4.3,1.2,3,5.2,4,
